 84.2950, -8.2772,  8.5580, -6.9282,  7.2454, -3.4041,  1.7644, -7.1366, -2.7959,  8.9766
 -9.5662,-87.5130,  8.8087, -5.3669,  5.7354, -0.4206, -3.9659, -2.7028,  7.9297,  0.1985
  0.7096,  0.4051,-78.4530, -7.7281,  5.1424,  2.5105,  0.2588,  9.8418,  2.0654, -1.2163
 -5.3635, -7.0938, -3.7598, 65.9130,  8.4522,  7.9662,  5.6972, -6.2161, -8.5436,  9.6001
  9.0589, -5.1775,  5.7168, -4.5620, 68.7870, -5.0078, -5.3694, -7.6696, -1.0364, -4.4224
  0.9341, -4.2210, -4.9327, -7.4519, -1.5598,-89.6630,  7.8489, -1.4564,  8.8391, -8.5159
  3.7821,  3.4304,  6.1010,  5.1520, -3.8526,  5.5201, 77.6590, -4.7661,  2.0641,  8.1324
  0.8166,  7.5172, -0.6964, -0.3406, -4.2893, -2.7507, -1.8822,-65.6170,  1.3018,  9.8484
 -5.9499,  7.4618, -9.1259,  0.9170, -2.9001,  1.3422, -0.6641, -9.6723,-60.7470,  4.1341
 -3.3307, -5.6318, -0.1012,  3.4750,  6.4963, -8.3990,  6.2946,  5.3074,  7.2749, 64.5810
