 84.5840, -4.5481,  9.4652,  5.3682, -5.1206,  3.1578, -0.7846, -1.6760,  9.1591, -2.2233
  9.7030, 99.9310,  9.1597,  4.6402, -3.0286, -4.4100, -2.6631,  8.2112, -4.0206,  6.0714
 -7.2243,  5.9806, 55.6440,  1.9561, -3.7715, -0.4311, -5.0179, -3.0992, -1.0292,  5.6813
 -9.9380, -3.7342, -2.0630,-85.8300, -4.6715,  8.7314, -2.9582, -4.6983,  5.9753,  8.1221
  3.0473, -9.1932,  8.3298,  9.9971, 85.9970,  5.1885,  2.1085,  5.5695,  4.3885, -4.6057
 -0.2698,  2.6895,  0.0475,  9.0492, -1.7334,-66.0170, -0.6329, -0.7602,  2.1059, -9.2327
 -3.3041,  6.1857,  4.9196,  0.7991, -4.5369, -7.1977, 90.4940,  0.0244, -4.7841, -7.5046
 -0.4703,  1.7538, -9.9969,  4.2921, -9.0207, -3.2560,  1.9207, 76.3360, -3.3355,  3.0021
 -1.5813,  2.7085,  9.6123,  8.2084,  2.8726, -2.3682,  2.3758, -9.9346, 56.6320, -0.0882
 -7.9034,  7.0249, -0.3329,  5.8452,  3.4775,  2.6817, -8.1554,  9.9598,  8.1264,-99.6060
