=========< s—ñ >==========
	
35,36,42,47,49,	
210,214,195,188,221,	
1,1,0,2,194,	
0,0,0,1,192,	
182,209,203,207,198,	
202,181,196,192,209,	
196,190,181,194,206,	
202,178,192,201,203,	
173,184,192,178,204,	
189,199,199,211,170,	
181,202,221,188,195,	
225,217,215,199,218,	
199,178,215,201,179,	
199,207,182,212,209,	
179,212,185,190,186,	
190,214,195,196,189,	
190,191,207,193,194,	
179,182,173,195,196,	
189,209,217,179,180,	
205,197,189,171,178,	
204,190,222,209,200,	
197,171,185,188,191,	
180,211,185,217,187,	
181,211,230,203,208,	
180,196,178,183,196,	
222,202,216,216,211,	
221,210,219,201,202,	
197,191,204,233,210,	
218,201,196,190,219,	
216,191,194,203,168,	
215,190,193,209,199,	
202,191,209,175,186,	
207,191,164,177,195,	
195,206,209,175,176,	
207,201,191,197,234,	
198,208,219,178,194,	
173,193,210,214,195,	
183,202,188,192,183,	
186,197,191,190,194,	
182,194,172,195,215,	
198,184,201,200,194,	
204,189,192,196,189,	
208,195,222,195,207,	
420,386,346,385,190,	
199,192,199,207,179,	
217,178,174,211,193,	
192,209,183,226,199,	
199,216,214,198,192,	
186,199,203,207,187,	
199,204,210,212,200,	
184,213,213,192,211,	
179,212,194,201,165,	
425,417,403,411,195,	
211,202,199,191,211,	
192,217,190,176,213,	
185,208,172,208,199,	
181,204,213,216,197,	
193,185,227,190,202,	
223,197,190,180,182,	
192,220,176,192,243,	
202,206,176,195,192,	
222,200,222,197,182,	
191,202,203,209,179,	
195,188,188,175,186,	
188,196,192,217,184,	
172,172,170,182,196,	
215,191,198,209,222,	
183,204,230,198,195,	
204,200,199,204,202,	
198,187,207,161,182,	
197,192,196,195,205,	
197,187,193,202,203,	
203,187,201,186,186,	
199,200,195,204,176,	
213,212,195,205,228,	
215,208,195,198,195,	
217,190,185,194,206,	
181,178,183,192,227,	
197,182,228,189,175,	
183,186,219,201,197,	
203,184,180,220,218,	
196,219,193,207,197,	
182,223,180,166,196,	
173,207,185,198,213,	
229,198,204,203,206,	
220,176,193,201,221,	
185,191,186,193,187,	
225,210,191,210,171,	
196,201,216,187,194,	
196,223,222,199,194,	
192,190,184,193,204,	
212,191,200,211,203,	
197,217,210,203,200,	
191,186,172,188,182,	
204,184,188,210,189,	
187,177,198,200,203,	
219,177,211,208,204,	
199,187,207,211,197,	
178,200,207,200,187,	
178,197,173,196,211,	
189,197,200,210,201,	
200,222,229,189,223,	
